,Keys,GAP,DPMD,SNAP,MTP,NNP,DPPT
0,hex_Ef|spl_Ef,3.160944959491239,2.001307809652948,3.725008952051868,2.8331891665791624,1.7814686847271957,2.80069852794286
1,hex_Ef|tet_Ef,3.558160878803111,2.393072218730776,3.8719999882524743,3.1208802759214755,1.5847474808512876,2.334935875461357
2,hex_Ef|vac_Ef,3.243356039835207,1.7170268293959197,3.8364879825151954,2.918240832334841,2.4742993374506805,2.8257043070991665
3,spl_Ef|tet_Ef,2.9805464817886027,1.9937369204221045,3.609067968099143,3.0648259309450574,1.6537401050166634,2.125031846436494
4,spl_Ef|vac_Ef,3.0992355779165623,1.9369580855040087,3.365194571507024,2.5064857112690304,1.6007234699464292,2.942583826661802
5,tet_Ef|vac_Ef,3.361658956214018,2.050833271948969,3.531164025227952,2.960809438479425,2.1255031284487518,2.475023902811764
6,hex_Ef|spl_Ef|tet_Ef|vac_Ef,4.983841871419672,3.338768981001959,5.564983846578908,4.241154247840897,3.670134502550752,4.500834860067533
