,Keys,GAP,DPMD,SNAP,MTP,NNP,DPPT
0,spl-c11|spl-c12,6.052326483246842,14.279873668785584,11.857067138440012,0.1118403580221911,9.22273804876502,11.701246253710432
1,spl-c11|spl-c44,4.82932814792999,7.321238754100116,8.192304045935913,4.860655194390954,8.895827834005152,6.118226325894556
2,spl-c11|spl-bulkmodulus,4.187128074947704,11.061612806635775,10.823495322713471,0.289020091190836,8.45161313326606,11.220146844036538
3,spl-c11|tet-c11,14.549253219822672,16.375299262559594,14.917442930279124,14.253296359851378,9.079755843234343,16.413733899924324
4,spl-c11|tet-c12,3.77517168946833,10.232562405344863,4.142665511173616,1.467482668290998,4.210024971530542,4.561849820663484
5,spl-c11|tet-c44,4.368621844804723,12.325792030101686,5.343302923274748,6.077326643468415,4.072444287754831,4.979372795369807
6,spl-c11|tet-bulkmodulus,0.0488842082729793,12.736261981527525,10.0849568579878,6.338148496665651,7.356001046607279,10.91301988715055
7,spl-c11|hex-c11,5.889808156653045,19.621648332434837,4.794158889524781,0.4123727184986219,4.338663106066156,6.604984429386621
8,spl-c11|hex-c12,8.307765628093446,16.33874708611539,13.183733543359397,7.790393032040763,9.819592473809022,12.08539860759246
9,spl-c11|hex-c44,5.378341392935394,12.961808298306645,6.110128523759323,4.032791441045085,9.95652649634788,7.530554922975698
10,spl-c11|hex-bulkmodulus,3.978580812022141,6.544977689093103,7.181988221296313,1.864068544042043,4.691860825086238,5.768642061337058
11,spl-c11|super-c11,1.6532915928935847,28.818267465328606,1.1373392087922658,1.7680967026551044,4.7665196150580185,8.60926272388523
12,spl-c11|super-c12,3.3186316364218165,25.97994146707528,9.51532052624629,5.644857877572862,4.986210832767275,8.265720772285881
13,spl-c11|super-c44,7.479675593126245,29.445613654169104,7.649967878350463,3.0390269082407945e-05,4.77238320696148,10.823110879032658
14,spl-c11|super-bulkmodulus,6.252864110780743,16.96008682567287,9.89122848752255,6.521477126902809,4.510261221204584,8.615456019222698
15,spl-c11|vac-c11,5.124059552585798,15.324529539771746,5.597220983321676,4.98699463294242,6.47180246131726,6.921222490008571
16,spl-c11|vac-c12,5.628957845329712,17.128172746216084,7.515868658678983,4.487902673551703,9.527465305744066,13.976859644490656
17,spl-c11|vac-c44,1.0997898738515743,17.1045503173538,4.281704427799644,0.7678824044890632,2.8172218636340967,6.019859815593706
18,spl-c11|vac-bulkmodulus,2.512279106603388,21.73481457429133,13.519726645855611,10.92928560843092,14.023504843069986,16.523104158191707
19,spl-c12|spl-c44,9.05228027671775,10.013062567946298,7.151453191303045,6.202784260888915,5.02154056076182,11.872014994836782
20,spl-c12|spl-bulkmodulus,7.585021416888015,13.089560979338003,12.317630208534103,0.565576559181759,10.34606939679713,12.147437533870209
21,spl-c12|tet-c11,17.291886428502018,15.381977852857291,12.715239563884191,18.493651534457747,10.872105167636247,19.48434327823688
22,spl-c12|tet-c12,8.583064451860755,8.989078003116926,9.238973162281846,8.884088997813693,8.449036843929129,6.963298527991887
23,spl-c12|tet-c44,8.644945647473794,10.529441071222584,7.667069843293966,7.111120026901209,3.85133778292443,7.4478556334841
24,spl-c12|tet-bulkmodulus,6.502092353572059,12.146183738571226,10.043290629930196,6.128198609761031,6.406032356998392,12.03170807776988
25,spl-c12|hex-c11,11.143013163185463,19.095526901867387,11.7134395345055,8.885368411191486,8.186967685264962,14.157245478150273
26,spl-c12|hex-c12,12.48056049743045,22.74124174643636,7.312913305780654,9.13878602634545,9.657635265822057,15.944742993643445
27,spl-c12|hex-c44,8.350008302949597,12.27902585134839,8.860220720836505,7.581678617471209,10.0037270817749,12.745903048911709
28,spl-c12|hex-bulkmodulus,5.531752448336159,9.218189357591378,8.44237620150581,2.437247579321008,4.607866995957406,9.525611985467403
29,spl-c12|super-c11,5.283086192644901,23.96444076076784,12.37495439963586,10.368008716125695,7.363693680359598,14.03859031384669
30,spl-c12|super-c12,5.144668918814198,27.956920610670725,6.655087226927302,4.61923586424345,5.483304640908874,12.953455904446916
31,spl-c12|super-c44,8.09770903794598,36.32866280520015,10.92833684826838,6.140707854957642,11.233549574539284,14.692091636528732
32,spl-c12|super-bulkmodulus,8.666702580890739,19.43503738744024,9.44767827245782,8.491299797133667,3.672699136432711,13.19525313036214
33,spl-c12|vac-c11,9.791982887555106,21.134565758356175,9.88926831086261,6.814329534539624,6.981533512151705,12.34087776081422
34,spl-c12|vac-c12,9.124134638282666,23.60516418586242,8.50335510459771,8.48045594866441,9.989959060195002,19.12880162223032
35,spl-c12|vac-c44,5.92283168612037,20.73544812706184,4.643976633485186,7.339022433990598,7.208272355190995,10.319276749582151
36,spl-c12|vac-bulkmodulus,17.196860673628596,25.464892323512792,15.023865488953009,8.823815288219553,16.627441385570265,21.89116153769112
37,spl-c44|spl-bulkmodulus,8.618545711190968,9.53168841830671,9.386212546322398,6.2445488732080285,8.754925607895373,12.87715104960094
38,spl-c44|tet-c11,10.358546612296395,11.508432114167856,12.403015077439608,15.580489681066064,14.016914037782408,6.632705498286232
39,spl-c44|tet-c12,4.929566133072418,2.6459408058123457,5.096886593369664,5.63798705831949,6.663745248681173,7.3243451683742045
40,spl-c44|tet-c44,6.360962242624685,6.409279903620478,7.429796654183537,7.537146782129031,5.382946860923486,2.4323263488309634
41,spl-c44|tet-bulkmodulus,6.884412183218862,9.450583353931922,8.488961614404973,6.565746493726934,9.07191676932905,11.330427951757592
42,spl-c44|hex-c11,5.089701254857282,14.582663665785278,9.150524306442914,7.371590555931588,6.853328803862982,10.655546047851493
