,Keys,GAP,DPMD,SNAP,MTP,NNP,DPPT
0,hex_Ef|spl_Ef,7.165541320708858,4.437929706646354,8.298636577926612,6.171922109946865,3.1702482032674064,7.285778281429801
1,hex_Ef|tet_Ef,6.265720722741775,4.780279279302508,8.664641004764345,5.38861857119836,3.737201338424621,5.276983259493421
2,hex_Ef|vac_Ef,9.466158133480086,2.6033581570359114,10.451016177460044,5.935090472687415,6.518023470488535,6.723769487075987
3,spl_Ef|tet_Ef,6.398637463942887,4.37516611596,7.47486562287496,5.7558016366569085,3.1171745567806477,3.693390343995796
4,spl_Ef|vac_Ef,7.843950100999304,4.587753552517323,7.748028536312034,4.6681673287343095,2.326323151562795,7.789292377126098
5,tet_Ef|vac_Ef,9.209118338750171,4.101628184143308,9.34913717543673,5.323899286875483,3.832900479539687,6.434999363826151
6,hex_Ef|spl_Ef|tet_Ef|vac_Ef,87.86742138058207,72.71702555910106,107.21337389165647,47.39097956431839,60.13494946680217,86.96864791602113
