,Models,ModelName,Train,hex_Ef,spl_Ef,tet_Ef,vac_Ef
23,GAP,286-6,IntEnh,-0.3690621724230964,0.2087182857647212,-0.0053013144872401,0.068237376613617
24,GAP,184-3,VacEnh,0.3383991820786986,0.146643622484239,0.6098066906181051,-0.4415571177538531
25,GAP,251-4,VacEnh,-0.0913650577696445,0.0796264264698155,-0.2099612364106333,-0.1874064679393038
26,GAP,382-4,VacEnh,0.3336349713196913,0.3531767949452171,0.7311469870234496,-0.7886140159608723
27,GAP,284-2,VacEnh,0.2984922489369592,0.3654372918404596,0.8005793288587467,-0.8377235031380726
28,GAP,278-6,VacEnh,0.2404329864956695,0.3652501682928331,0.7323371921301177,-0.8064586434526266
29,GAP,264-2,VacEnh,-0.0119336756733195,0.088244815335062,0.0853118582100956,-0.2872868818101909
30,GAP,161-6,VacEnh,0.0984648553660749,0.1127202475210474,-0.3265271080296452,-0.0063729179246264
31,GAP,285-2,VacEnh,0.306285579581691,0.3859517368598365,0.6808301446066936,-0.9785550737788028
32,GAP,202-2,VacEnh,0.3555010723380398,-0.0322023997294392,0.3029809600893741,-1.828460124933251
