,Models,ModelName,SelectionType,TrainingData,hex_Ef,spl_Ef,tet_Ef,vac_Ef,spl_c11,spl_c12,spl_c44,spl_bulkmodulus,tet_c11,tet_c12,tet_c44,tet_bulkmodulus,hex_c11,hex_c12,hex_c44,hex_bulkmodulus,super_c11,super_c12,super_c44,super_bulkmodulus,vac_c11,vac_c12,vac_c44,vac_bulkmodulus,hex_a,spl_a,super_a,tet_a,unit_a,vac_a,L1_frequency,L1_mean,L1_max,L2_frequency,L2_mean,L2_max,L3_frequency,L3_mean,L3_max,L4_frequency,L4_mean,L4_max,Interstitial_RE_A,Interstitial_RE_M,Vacancy_RE_A,Vacancy_RE_M,Interstitial_enhanced_E,Interstitial_enhanced_F,Interstitial_RE_E,Interstitial_RE_F,Vacancy_enhanced_E,Vacancy_enhanced_F,Vacancy_RE_E,Vacancy_RE_F,bulk_free_energy,bulk_entropy,bulk_heat_capacity,vacancy_free_energy,vacancy_entropy,vacancy_heat_capacity
0,DFT,Threshold,,,1.314134378437473,1.2433610884375523,0.9419769084374824,0.5817131715624555,3.176209999999997,4.868189999999991,0.7238100000000005,2.112995187945032,21.255569999999988,19.6927,25.54883000000001,5.816503891838153,0.5363199999999891,4.351570000000009,3.001409999999993,2.830513801213144,1.4154399999999894,4.03521,3.4001600000000134,3.160534424310626,492.1485299999999,251.30176000000023,83.55887000000007,3.799767229305416,0.0258785578376291,0.0367448895449308,0.0330533010679517,0.02,0.1622043491193211,0.0519627024576402,7.635467980295567,0.0161343567741927,0.0542905299998892,7.389162561576355,0.0261461866666839,0.0666847600000437,9.885057471264368,0.0781703358139569,0.2634438800000113,5.517241379310345,0.0693617958333354,0.2401862199999983,0.2242591952035051,0.1952611553095813,0.1469807100922567,0.1256639642158232,14.999999999999996,0.1200000000000001,14.999999999999996,0.2478159109466214,14.999999999999996,0.1200000000000001,14.999999999999996,0.1737723210065675,0.252634976597738,0.3315791204125531,0.1146057540274055,39.09091514112973,91.62145446281428,41.02281507859318
1,GAP,183-3,s,Org,1.7316831402022788,0.9918075347553098,2.008823662806265,0.2788634781356335,25.680560537850003,4.682056485835098,8.790131630295997,11.292371153302936,73.30775454346102,9.188318925710789,55.687990167200105,18.52979982545527,33.365758998499,4.679595680997914,5.257493590499806,14.01133496800182,21.820253844332992,0.8909625693202017,0.6997285014562069,6.682016087796043,13.318245362399992,14.001080461172991,2.288346672752695,13.776767193058715,0.0085404397199634,0.0002735742027474,0.0077090434411567,0.00479563612498,0.0040569220420573,0.0283589342447426,46.30541871921183,0.2917367130850963,0.7177789300001224,48.02955665024632,0.3282723928205152,0.9285293300000608,38.39080459770116,0.3024608164670673,1.069356549999952,34.48275862068966,0.3291068619999969,1.0431914900000263,0.3684999423498215,0.3042776432606942,0.1429270338272301,0.1287391668996363,10.413798528929112,0.1168754616882927,13.06278469797982,0.3939004704810442,4.778721178648516,0.0924873064275086,5.48776857264612,0.174604780877907,0.1177506589916939,0.261441147542439,0.0846596523795821,3.3021128581684898,4.398668804718723,6.657992131577925
2,GAP,189-5,s,Org,1.857748216517564,0.9813821080215912,1.949568733192564,0.2821050247823676,27.150928366100008,8.050819800875397,8.949678149349902,14.28355503119444,73.72882646141807,7.429437869672794,56.06780707629991,19.84277657370928,35.32741901636598,3.848958591464708,6.047149108002301,14.125736115536824,25.02432866023699,3.880946914818196,0.1636157329171085,10.931220521033255,24.24856729754102,14.879732691933304,2.988533820589296,18.003868888501703,0.0002371157713162,0.0065539486000004,0.0035877766976125,0.0013156156420973,0.0019962786873667,0.0280561030522291,46.0591133004926,0.2815689459892962,0.7177789300001224,49.75369458128078,0.3495828344554455,0.9285293300000608,35.86206896551723,0.3149630879487183,1.069356549999952,33.56321839080458,0.3419139028767124,1.0431914900000263,0.3731119566470658,0.2988585264614321,0.1429270338272301,0.1274811294380762,10.445487002604986,0.114224739122607,13.184313408837514,0.3858582981995451,4.613906405673412,0.0906862369755547,5.326408367901036,0.1711385986562346,0.2446825339987997,0.4503775611524114,0.0982145518265941,7.4496127400104575,17.745795821606976,7.370484651909084
3,GAP,341-5,r,Org,1.3395737507985357,0.7159758113455723,1.05759383330053,0.5708189577713934,36.48820086944501,6.773479703212502,4.441695295852,16.04205010654886,10.511628245490003,24.95006856975609,45.200303130999,12.937962713150228,26.76166470793401,9.238955275232897,4.0886249997981,15.29865429847588,31.31902428628201,5.105102419372707,6.179983434490098,13.840505520725443,13.108383891855013,15.1170416260392,2.414412569322792,14.448723927304815,0.0209390672060968,0.0093546675360228,0.0322378174363836,0.0076033768238516,0.0159164753076827,0.0680240327959963,46.30541871921183,0.2904370205319055,0.7177789300001224,53.94088669950739,0.3428076811415532,0.9285293300000608,39.3103448275862,0.3135231107602347,1.069356549999952,37.24137931034484,0.3540198659876528,1.0431914900000263,0.3651562319843193,0.2959760175256544,0.1701845121610292,0.1579535923958622,9.5295618538757,0.1326729186966189,11.489264986056666,0.378779779548309,6.90333118487383,0.1195780232099025,7.122682355556021,0.1995904969406987,0.0680684810775997,0.092245608391544,0.1178377661259327,38.57620081831813,84.34669527543163,30.70104708227692
4,GAP,58-2,r,Org,0.7081421530457424,0.7462779877058097,1.3108190333817904,0.6545950856761918,21.091292094899995,4.222977891800596,0.8951770590030039,4.719509319855065,25.539990432951,19.540981589629087,43.180767146051394,4.293121934686823,15.666476374007011,4.067201291993492,6.838450233498996,8.153646777940281,49.81760464066902,2.251887949873193,4.884893843608097,15.102034277164153,4.667157838350007,28.426938914577097,5.258278338098101,20.50828928471321,0.0151194875881924,0.001501602936578,0.0193422678635445,0.0284555634420656,0.0094687005231905,0.0578725993337004,45.566502463054185,0.3212025024864686,0.7177789300001224,56.15763546798027,0.3573618565789466,0.9285293300000608,48.04597701149424,0.3241376130621974,1.069356549999952,40.6896551724138,0.374989131073451,1.0431914900000263,0.3242822552749916,0.2654790729851262,0.15341067934023,0.1497064579256357,8.08730049191518,0.117473492240845,10.953092971615458,0.3428031956139575,5.931192226211267,0.1050272135259377,6.674810918395811,0.1974055744765387,0.1218285870673843,0.2907140014430084,0.1126948460439884,2.8039025880008173,9.973107438536898,6.447566823626366
5,GAP,289-2,r,Org,1.9152260504706649,1.5707257910597148,2.257285767342694,0.5270501751082861,8.153020877449988,11.511107995025087,5.302354145849101,9.828858645994549,7.7730024751709985,6.828844015846898,10.26389687955079,2.4767876020149795,9.514980767400004,2.3238310913744087,5.565926045999903,4.506204921491332,27.343116454485017,6875.358082093069,27.74458130827089,8090.635261532271,3.9189582669999936,13.9108883931505,16.752953217223983,10.098411809993111,0.0315159895955757,0.0507099109600587,0.0198157085077442,0.0193204768325648,0.0097054208469814,0.0228297772967193,38.17733990147781,0.2209477836128798,0.6831900800000315,25.369458128078826,0.2420201619417532,0.7298602699999039,27.816091954022998,0.2085984895041374,0.669246259999966,28.04597701149426,0.310057095163935,1.0431914900000263,0.3999769399285139,0.3206502940159114,0.2300111825552135,0.2032429410120212,14.52001989393642,0.198307579491886,17.89809088799563,0.4009375196837307,7.118954652140106,0.195024747804961,6.959015414125119,0.2690033029829821,3.231612565864449,5.115714308049561,0.8336976244192933,76.4689974581517,119.42935412399538,19.332867335151462
6,GAP,91-4,r,Org,1.416974809981014,0.845614492191089,1.3598357516280546,0.5198350556018454,13.53919083492099,17.812737954742882,2.980576567499007,15.95718195691444,68.41466313674898,4.65057349233831,51.65016454459939,26.125703443283268,21.852625755382007,15.176367840671906,0.1801206860492074,17.186650171197826,6.723764192496987,18.1107389705837,11.78114143692889,14.317639960873954,27.60897717335001,25.857293717349503,17.164484003677593,26.441767486332303,0.0247455237224282,0.0307402715525099,0.0271868079139919,0.0337323028053439,0.0133907388354027,0.0479102967801558,42.85714285714286,0.2551616799425428,0.7177789300001224,48.02955665024632,0.3484621210769267,0.9285293300000608,29.6551724137931,0.2944016043410846,1.069356549999952,25.747126436781624,0.3270090985714315,0.9399637500000042,0.3458434221146089,0.2680733310273261,0.1503354766564168,0.1262230919765163,8.198291690975767,0.1117341323454858,10.711369520480604,0.3493706504516885,5.006782282250573,0.0929410190704514,5.571406502836007,0.1597553319430434,0.1626562766148976,0.1545506219071668,0.1465974926581239,5.0529204931379,2.616865337549923,5.3765177684140975
7,GAP,357-4,s,Org,1.3088998365646491,1.0545104938547067,1.8368990937406693,0.2468430796142228,25.072326830900018,6.7232086768931,7.336503090344999,13.383601891092445,68.44301653059897,10.38723114289629,52.77257528965111,16.10950578681927,30.698659867750997,5.01935760253,2.5515512659952004,13.358991486568828,25.99482748659097,6.583428577440394,3.408851730377989,13.05643289548095,40.47827279600501,25.67041575600631,4.2460103527171,30.609973444610706,0.004559064723642,0.0033939196484703,0.0018161013867655,0.0178951405703725,0.0011104840893959,0.0399804243439606,42.85714285714286,0.2898936022413715,0.7177789300001224,47.53694581280788,0.3367794396891215,0.9285293300000608,40.22988505747127,0.312358264571428,1.069356549999952,35.63218390804598,0.3491122227096768,1.0431914900000263,0.3497059840885507,0.2620200622621933,0.1564159910539565,0.1455129997204357,9.97844763871488,0.1109971639070603,12.7790882206463,0.3514505490878905,4.470316745107734,0.096196451592387,5.535711586893388,0.1928563633426099,0.0350719414661078,0.1311725997495909,0.0872201937133048,6.141455629791954,4.36864342270247,4.96199385411222
8,GAP,288-4,s,Org,1.680048202260139,1.3659886065121891,2.163325150065135,0.1881021852298089,18.38285743549699,3.961354883256505,6.518812032504407,10.013093718223756,30.340193149951,11.120289973521196,52.072590892502696,2.438350633639373,19.592418876501004,6.716635227243692,0.7647917319993952,11.23178344811207,22.037289951873014,2.4139206543009943,9.501246591910602,5.733904756481054,15059.755831378994,7540.499636538128,148613.06360288692,5023.545276178043,0.0333803164283636,0.0443264605624697,0.016257315444024,0.0200396195888074,0.0079262243092158,0.0406264038306324,43.5960591133005,0.2856214385310665,0.7177789300001224,49.99999999999999,0.3530275931034508,0.9285293300000608,33.793103448275865,0.2909445474149685,1.069356549999952,34.48275862068966,0.3546683352666678,1.0431914900000263,0.3340827856566356,0.29136400322841,0.1519429689684097,0.1372658652502094,11.900730487781315,0.1168633814818615,14.866131686597509,0.3652479919068128,4.1467431234658445,0.0930233061432003,5.333307553636485,0.180151095847309,0.6177684670074967,0.8615294933632163,0.2408085907060483,21.6857137610301,32.37986911245184,7.58582147459037
9,GAP,94-2,s,Org,1.459051530474085,0.6882549192951618,1.7135367248681066,0.3786863224188436,7.918205651249992,6.859204411648697,6.610405350950395,1.588945470121942,38.03637255310901,12.485426568727291,53.076147392294615,4.575469863268978,0.248251905499984,1.6143722587508051,2.4023664369999977,0.7763658510583299,26.394187186195012,3.110327027490896,0.2342549789482007,6.721942107144244,6.226866141000997,18.064390326386498,2.3742581686965067,14.11978805148732,0.012992091463971,0.0116703499087086,0.0067513835566045,0.0002460383808174,0.0031732583680569,0.041350789856052,44.82758620689657,0.2903447324725178,0.7177789300001224,50.73891625615763,0.3575337461165079,0.9285293300000608,37.70114942528733,0.3102851241463408,1.069356549999952,37.70114942528733,0.3748903651219551,1.0431914900000263,0.3436527153234175,0.3012798339674852,0.1449538719597436,0.1183953033268099,8.669252944659704,0.1161281192516973,11.448023425518349,0.3854416325724849,4.68750808125318,0.0933275523312197,5.388699185113095,0.1587115244081506,0.2570031181731523,0.4793557860061304,0.1101626383479291,13.74723617818182,27.88778733660645,8.191637240423567
